tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
352472	3385361	GO:0003674	ND	enables	molecular_function	-	Function
352472	3385361	GO:0005575	ND	is_active_in	cellular_component	-	Component
352472	3385361	GO:0008150	ND	involved_in	biological_process	-	Process
352472	3385371	GO:0000166	IEA	enables	nucleotide binding	-	Function
352472	3385371	GO:0000209	IBA	involved_in	protein polyubiquitination	21873635	Process
352472	3385371	GO:0005524	IEA	enables	ATP binding	-	Function
352472	3385371	GO:0005634	IBA	is_active_in	nucleus	21873635	Component
352472	3385371	GO:0005783	IBA	is_active_in	endoplasmic reticulum	21873635	Component
352472	3385371	GO:0016567	IEA	involved_in	protein ubiquitination	-	Process
352472	3385371	GO:0016740	IEA	enables	transferase activity	-	Function
352472	3385371	GO:0030433	IBA	involved_in	ubiquitin-dependent ERAD pathway	21873635	Process
352472	3385371	GO:0061631	IBA	enables	ubiquitin conjugating enzyme activity	21873635	Function
352472	3385371	GO:0061631	IEA	enables	ubiquitin conjugating enzyme activity	-	Function
352472	3385372	GO:0003674	ND	enables	molecular_function	-	Function
352472	3385372	GO:0004721	IBA	enables	phosphoprotein phosphatase activity	21873635	Function
352472	3385372	GO:0004721	IEA	enables	phosphoprotein phosphatase activity	-	Function
352472	3385372	GO:0004722	IEA	enables	protein serine/threonine phosphatase activity	-	Function
352472	3385372	GO:0005575	ND	is_active_in	cellular_component	-	Component
352472	3385372	GO:0005634	IEA	located_in	nucleus	-	Component
352472	3385372	GO:0006470	IEA	involved_in	protein dephosphorylation	-	Process
352472	3385372	GO:0006972	IEP	acts_upstream_of_or_within	hyperosmotic response	17517120	Process
352472	3385372	GO:0016311	IEA	involved_in	dephosphorylation	-	Process
352472	3385372	GO:0016787	IEA	enables	hydrolase activity	-	Function
352472	3385372	GO:0016791	IEA	enables	phosphatase activity	-	Function
352472	3385372	GO:0046872	IEA	enables	metal ion binding	-	Function
352472	3385413	GO:0003697	IEA	enables	single-stranded DNA binding	-	Function
352472	3385413	GO:0004518	IEA	enables	nuclease activity	-	Function
352472	3385413	GO:0004519	IEA	enables	endonuclease activity	-	Function
352472	3385413	GO:0005634	IEA	located_in	nucleus	-	Component
352472	3385413	GO:0006281	IEA	involved_in	DNA repair	-	Process
352472	3385413	GO:0006289	IEA	involved_in	nucleotide-excision repair	-	Process
352472	3385413	GO:0006807	IEA	involved_in	nitrogen compound metabolic process	-	Process
352472	3385413	GO:0006974	IEA	involved_in	cellular response to DNA damage stimulus	-	Process
352472	3385413	GO:0016788	IEA	enables	hydrolase activity, acting on ester bonds	-	Function
352472	3385413	GO:0044238	IEA	involved_in	primary metabolic process	-	Process
352472	3385413	GO:0044260	IEA	involved_in	cellular macromolecule metabolic process	-	Process
352472	3385413	GO:0090305	IEA	involved_in	nucleic acid phosphodiester bond hydrolysis	-	Process
352472	3385462	GO:0000290	IBA	involved_in	deadenylation-dependent decapping of nuclear-transcribed mRNA	21873635	Process
352472	3385462	GO:0000932	IBA	is_active_in	P-body	21873635	Component
352472	3385462	GO:0003723	IBA	enables	RNA binding	21873635	Function
352472	3385462	GO:0033962	IBA	involved_in	P-body assembly	21873635	Process
352472	8615795	GO:0046872	IEA	enables	metal ion binding	-	Function
352472	8615849	GO:0003674	ND	enables	molecular_function	-	Function
352472	8615849	GO:0005575	ND	is_active_in	cellular_component	-	Component
352472	8615849	GO:0008150	ND	involved_in	biological_process	-	Process
352472	8615871	GO:0005737	IBA	is_active_in	cytoplasm	21873635	Component
352472	8615871	GO:0008270	IEA	enables	zinc ion binding	-	Function
352472	8615871	GO:0046872	IEA	enables	metal ion binding	-	Function
352472	8615874	GO:0016020	IEA	located_in	membrane	-	Component
352472	8615874	GO:0016021	IEA	located_in	integral component of membrane	-	Component
352472	8615876	GO:0003993	IEA	enables	acid phosphatase activity	-	Function
352472	8615876	GO:0003993	ISS	enables	acid phosphatase activity	-	Function
352472	8615876	GO:0004721	IEA	enables	phosphoprotein phosphatase activity	-	Function
352472	8615876	GO:0004725	IBA	enables	protein tyrosine phosphatase activity	21873635	Function
352472	8615876	GO:0004725	IEA	enables	protein tyrosine phosphatase activity	-	Function
352472	8615876	GO:0005575	ND	is_active_in	cellular_component	-	Component
352472	8615876	GO:0005737	IEA	located_in	cytoplasm	-	Component
352472	8615876	GO:0006470	IEA	involved_in	protein dephosphorylation	-	Process
352472	8615876	GO:0016787	IEA	enables	hydrolase activity	-	Function
352472	8615876	GO:0016791	ISS	enables	phosphatase activity	-	Function
352472	8615876	GO:0035335	IEA	involved_in	peptidyl-tyrosine dephosphorylation	-	Process
352472	8615879	GO:0001891	IDA	located_in	phagocytic cup	15962002	Component
352472	8615879	GO:0005515	IPI	enables	protein binding	15962002	Function
352472	8615879	GO:0005829	IDA	located_in	cytosol	15962002	Component
352472	8615879	GO:0005856	IBA	is_active_in	cytoskeleton	21873635	Component
352472	8615879	GO:0005938	IDA	located_in	cell cortex	15962002	Component
352472	8615879	GO:0006907	IMP	NOT acts_upstream_of_or_within	pinocytosis	15962002	Process
352472	8615879	GO:0006909	IEA	involved_in	phagocytosis	-	Process
352472	8615879	GO:0008270	ISS	enables	zinc ion binding	15962002	Function
352472	8615879	GO:0030695	IGI	NOT enables	GTPase regulator activity	15962002	Function
352472	8615879	GO:0030863	IDA	located_in	cortical cytoskeleton	15962002	Component
352472	8615879	GO:0045335	IDA	located_in	phagocytic vesicle	15962002	Component
352472	8615879	GO:0046847	IMP	acts_upstream_of_or_within	filopodium assembly	15962002	Process
352472	8615879	GO:0046872	IEA	enables	metal ion binding	-	Function
352472	8615879	GO:0050765	IGI	acts_upstream_of_or_within	negative regulation of phagocytosis	15962002	Process
352472	8615879	GO:0050765	IMP	acts_upstream_of_or_within	negative regulation of phagocytosis	15962002	Process
352472	8615885	GO:0000166	IEA	enables	nucleotide binding	-	Function
352472	8615885	GO:0000281	IMP	acts_upstream_of_or_within	mitotic cytokinesis	15483055	Process
352472	8615885	GO:0004672	IEA	enables	protein kinase activity	-	Function
352472	8615885	GO:0004674	IBA	enables	protein serine/threonine kinase activity	21873635	Function
352472	8615885	GO:0004674	IEA	enables	protein serine/threonine kinase activity	-	Function
352472	8615885	GO:0004712	IEA	enables	protein serine/threonine/tyrosine kinase activity	-	Function
352472	8615885	GO:0005515	IPI	enables	protein binding	15470506|15483055	Function
