tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
9913	280677	GO:0001798	IEA	involved_in	positive regulation of type IIa hypersensitivity	-	Process
9913	280677	GO:0001934	ISS	involved_in	positive regulation of protein phosphorylation	-	Process
9913	280677	GO:0001970	IEA	involved_in	positive regulation of activation of membrane attack complex	-	Process
9913	280677	GO:0004866	IEA	enables	endopeptidase inhibitor activity	-	Function
9913	280677	GO:0006631	IEA	involved_in	fatty acid metabolic process	-	Process
9913	280677	GO:0006954	IEA	involved_in	inflammatory response	-	Process
9913	280677	GO:0006957	IEA	involved_in	complement activation, alternative pathway	-	Process
9913	280677	GO:0006958	IEA	involved_in	complement activation, classical pathway	-	Process
9913	280677	GO:0009617	IEA	involved_in	response to bacterium	-	Process
9913	280677	GO:0009986	IEA	located_in	cell surface	-	Component
9913	280677	GO:0010575	IEA	involved_in	positive regulation of vascular endothelial growth factor production	-	Process
9913	280677	GO:0010828	ISS	involved_in	positive regulation of glucose transmembrane transport	-	Process
9913	280677	GO:0010866	ISS	involved_in	regulation of triglyceride biosynthetic process	-	Process
9913	280677	GO:0010884	ISS	involved_in	positive regulation of lipid storage	-	Process
9913	280677	GO:0010951	IEA	involved_in	negative regulation of endopeptidase activity	-	Process
9913	280677	GO:0016322	IEA	involved_in	neuron remodeling	-	Process
9913	280677	GO:0031715	ISS	enables	C5L2 anaphylatoxin chemotactic receptor binding	-	Function
9913	280677	GO:0032991	IEA	part_of	protein-containing complex	-	Component
9913	280677	GO:0035846	IEA	involved_in	oviduct epithelium development	-	Process
9913	280677	GO:0045745	ISS	involved_in	positive regulation of G protein-coupled receptor signaling pathway	-	Process
9913	280677	GO:0045766	IEA	involved_in	positive regulation of angiogenesis	-	Process
9913	280677	GO:0048260	IEA	involved_in	positive regulation of receptor-mediated endocytosis	-	Process
9913	280677	GO:0060100	IEA	involved_in	positive regulation of phagocytosis, engulfment	-	Process
9913	280677	GO:0097242	IEA	involved_in	amyloid-beta clearance	-	Process
9913	280677	GO:0097278	IEA	involved_in	complement-dependent cytotoxicity	-	Process
9913	280677	GO:0150062	IEA	involved_in	complement-mediated synapse pruning	-	Process
9913	280677	GO:0150064	IEA	involved_in	vertebrate eye-specific patterning	-	Process
9913	280677	GO:1905114	IEA	involved_in	cell surface receptor signaling pathway involved in cell-cell signaling	-	Process
9913	280677	GO:2000427	IEA	involved_in	positive regulation of apoptotic cell clearance	-	Process
9913	280678	GO:0006954	IEA	involved_in	inflammatory response	-	Process
9913	280678	GO:0006958	IEA	involved_in	complement activation, classical pathway	-	Process
9913	280678	GO:0030424	IEA	located_in	axon	-	Component
9913	280678	GO:0030425	IEA	located_in	dendrite	-	Component
9913	280678	GO:0045087	IEA	involved_in	innate immune response	-	Process
9913	280678	GO:0045202	IEA	located_in	synapse	-	Component
9913	280682	GO:0006099	IEA	involved_in	tricarboxylic acid cycle	-	Process
9913	280682	GO:0006101	IEA	involved_in	citrate metabolic process	-	Process
9913	280685	GO:0004252	IDA	enables	serine-type endopeptidase activity	12706644	Function
9913	280685	GO:0005509	IEA	enables	calcium ion binding	-	Function
9913	280685	GO:0005515	IPI	enables	protein binding	16230338	Function
9913	280685	GO:0006508	IDA	involved_in	proteolysis	12706644	Process
