tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
4896	2538689	GO:0002183	EXP	involved_in	cytoplasmic translational initiation	10725227	Process
4896	2538689	GO:0002183	IMP	involved_in	cytoplasmic translational initiation	10725227	Process
4896	2538689	GO:0003723	IBA	enables	RNA binding	21873635	Function
4896	2538689	GO:0003724	IBA	enables	RNA helicase activity	21873635	Function
4896	2538689	GO:0003724	TAS	enables	RNA helicase activity	12034844	Function
4896	2538689	GO:0003743	IMP	enables	translation initiation factor activity	10725227	Function
4896	2538689	GO:0005515	IPI	enables	protein binding	11711540|19682301	Function
4896	2538689	GO:0005524	IEA	enables	ATP binding	-	Function
4896	2538689	GO:0005634	IBA	is_active_in	nucleus	21873635	Component
4896	2538689	GO:0005737	EXP	is_active_in	cytoplasm	10725227	Component
4896	2538689	GO:0005829	HDA	is_active_in	cytosol	16823372	Component
4896	2538689	GO:0016887	IEA	enables	ATP hydrolysis activity	-	Function
4896	2538689	GO:1990625	IDA	involved_in	negative regulation of cytoplasmic translational initiation in response to stress	10725227	Process
4896	2538690	GO:0005515	IPI	enables	protein binding	22474355	Function
4896	2538690	GO:0005634	HDA	is_active_in	nucleus	16823372	Component
4896	2538690	GO:0005829	HDA	is_active_in	cytosol	16823372	Component
4896	2538690	GO:0031048	IMP	involved_in	RNA-mediated heterochromatin formation	18658154	Process
4896	2538690	GO:0031508	IMP	involved_in	pericentric heterochromatin formation	18658154	Process
4896	2538691	GO:0003674	ND	enables	molecular_function	-	Function
4896	2538691	GO:0005634	HDA	is_active_in	nucleus	16823372	Component
4896	2538691	GO:0005829	HDA	is_active_in	cytosol	16823372	Component
4896	2538691	GO:0008150	ND	involved_in	biological_process	-	Process
4896	2538692	GO:0003674	ND	enables	molecular_function	-	Function
4896	2538692	GO:0005737	IDA	is_active_in	cytoplasm	32032353	Component
4896	2538692	GO:0072324	ISS	is_active_in	ascus epiplasm	32032353	Component
4896	2538692	GO:0110134	IDA	involved_in	meiotic drive	32790622	Process
4896	2538692	GO:0110134	IMP	involved_in	meiotic drive	30475921	Process
4896	2538693	GO:0005634	HDA	is_active_in	nucleus	16823372	Component
4896	2538693	GO:0005829	HDA	is_active_in	cytosol	16823372	Component
4896	2538693	GO:0008150	ND	involved_in	biological_process	-	Process
4896	2538693	GO:0008483	IEA	enables	transaminase activity	-	Function
4896	2538693	GO:0031071	ISS	enables	cysteine desulfurase activity	-	Function
4896	2538694	GO:0004364	IMP	enables	glutathione transferase activity	11513961|12063243	Function
4896	2538694	GO:0004602	IMP	NOT enables	glutathione peroxidase activity	11513961	Function
4896	2538694	GO:0005634	HDA	is_active_in	nucleus	16823372	Component
4896	2538694	GO:0005634	IDA	is_active_in	nucleus	12063243	Component
4896	2538694	GO:0005737	IDA	is_active_in	cytoplasm	12063243	Component
4896	2538694	GO:0005829	HDA	is_active_in	cytosol	16823372	Component
4896	2538694	GO:1990748	NAS	involved_in	cellular detoxification	-	Process
4896	2538695	GO:0000785	IC	is_active_in	chromatin	-	Component
4896	2538695	GO:0005669	IBA	part_of	transcription factor TFIID complex	21873635	Component
4896	2538695	GO:0005669	ISO	part_of	transcription factor TFIID complex	-	Component
4896	2538695	GO:0006366	IBA	involved_in	transcription by RNA polymerase II	21873635	Process
4896	2538695	GO:0016251	ISO	enables	RNA polymerase II general transcription initiation factor activity	-	Function
4896	2538695	GO:0051123	IBA	involved_in	RNA polymerase II preinitiation complex assembly	21873635	Process
4896	2538696	GO:0003674	ND	enables	molecular_function	-	Function
4896	2538696	GO:0005783	HDA	is_active_in	endoplasmic reticulum	16823372	Component
4896	2538696	GO:0005794	HDA	is_active_in	Golgi apparatus	16823372	Component
4896	2538696	GO:0008150	ND	involved_in	biological_process	-	Process
4896	2538697	GO:0004222	ISM	enables	metalloendopeptidase activity	-	Function
4896	2538697	GO:0031314	IBA	is_active_in	extrinsic component of mitochondrial inner membrane	21873635	Component
4896	2538697	GO:0033615	IBA	involved_in	mitochondrial proton-transporting ATP synthase complex assembly	21873635	Process
4896	2538697	GO:0034982	IBA	involved_in	mitochondrial protein processing	21873635	Process
4896	2538697	GO:0034982	ISO	involved_in	mitochondrial protein processing	-	Process
4896	2538698	GO:0005634	HDA	is_active_in	nucleus	16823372	Component
4896	2538698	GO:0005737	HDA	is_active_in	cytoplasm	22146723	Component
4896	2538698	GO:0005737	IBA	is_active_in	cytoplasm	21873635	Component
4896	2538698	GO:0005829	HDA	is_active_in	cytosol	16823372	Component
4896	2538698	GO:0032434	ISS	involved_in	regulation of proteasomal ubiquitin-dependent protein catabolic process	-	Process
4896	2538698	GO:0055105	IBA	enables	ubiquitin-protein transferase inhibitor activity	21873635	Function
4896	2538698	GO:0055105	ISS	enables	ubiquitin-protein transferase inhibitor activity	-	Function
4896	2538699	GO:0005096	IBA	enables	GTPase activator activity	21873635	Function
4896	2538699	GO:0005096	ISO	enables	GTPase activator activity	-	Function
4896	2538699	GO:0005794	IEA	is_active_in	Golgi apparatus	-	Component
4896	2538699	GO:0006886	IC	involved_in	intracellular protein transport	-	Process
4896	2538699	GO:0008270	ISM	enables	zinc ion binding	-	Function
4896	2538699	GO:0030127	IBA	part_of	COPII vesicle coat	21873635	Component
4896	2538699	GO:0030127	ISO	part_of	COPII vesicle coat	-	Component
4896	2538699	GO:0030433	ISO	involved_in	ubiquitin-dependent ERAD pathway	-	Process
4896	2538699	GO:0070971	IBA	is_active_in	endoplasmic reticulum exit site	21873635	Component
